precision:,0.9193548387096774
0.91,0.852
T,T

0.914,0.026,0.618,0.513
T,F,T,T

0.869,0.867
T,T

0.935,0.92,0.813,0.646,0.837
T,T,T,T,T

0.842,0.766,0.866
T,T,T

0.812,0.831,0.099
T,T,F

0.923,0.699,0.698
T,T,T

0.873,0.683,0.762,0.873,0.918
T,T,T,T,T

0.701,0.754
T,T

0.684,0.77,0.854,0.326
T,T,T,F

0.867,0.848,0.806,0.842,0.7,0.912,0.933,0.319
T,T,T,T,T,T,T,F

0.074,0.728
F,T

0.916
T

0.916,0.538,0.623,0.662,0.861,0.883,0.903
T,T,T,T,T,T,T

0.851,0
T,F

0.569,0.763,0.704
T,T,T

0
F

0.918,0.827,0.728
T,T,T

0.682,0.921
T,T

0.892,0.735,0.306,0.771,0.718
T,T,F,T,T

empty
empty

0
F

0.743,0.059,0.034
T,F,F

0.752,0,0
T,F,F

empty
empty

empty
empty

0.898
T

0
F

